name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2025-03-23,86,76.8,78.9,94.8,76.8,80.6,75.3,89.2,0,0,0,rain,0,0,18.6,9.8,289.9,1011.8,45.3,5.5,185.7,16.2,8,60,2025-03-23T07:16:16,2025-03-23T19:23:26,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-24,90.9,75.2,82.5,104,75.2,87.8,74.9,79.4,0.374,100,8.33,rain,0,0,12.8,10.4,286.3,1010.2,39.9,6,225.1,19.5,9,60,2025-03-24T07:15:53,2025-03-24T19:23:14,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-25,89.2,78.6,82.5,101.7,78.6,88.3,75.6,80.3,0,0,0,rain,0,0,14.1,8.7,305.6,1008.2,40.7,6,223.5,19.3,8,60,2025-03-25T07:15:29,2025-03-25T19:23:01,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-26,94.5,78.3,85.5,108.9,78.3,92.6,75.6,74.1,0.004,100,4.17,rain,0,0,17.4,8.8,311.5,1006.6,40.4,5.8,269,23.3,9,60,2025-03-26T07:15:06,2025-03-26T19:22:48,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-27,89.1,80.2,82.7,101.7,86.1,91.2,76.9,82.9,0.141,100,4.17,rain,0,0,20.8,8.9,275.2,1006.6,41.1,5.9,238.3,20.7,10,60,2025-03-27T07:14:43,2025-03-27T19:22:35,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,WMKK,MYI0000WMSA"
Malaysia,2025-03-28,89.4,75.4,81.8,101.8,75.4,87.1,75.6,82.4,0.53,100,4.17,rain,0,0,19.7,9.9,323.2,1007.5,39.3,5.6,158.8,13.7,6,30,2025-03-28T07:14:19,2025-03-28T19:22:22,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-29,93,78.5,84.5,104.6,78.5,91.1,75.3,75.4,0,0,0,rain,0,0,15.9,10.9,305.2,1007.6,38.5,6.1,236,20.3,9,60,2025-03-29T07:13:56,2025-03-29T19:22:09,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-30,94,80.1,84.7,106.4,85.8,94,76.8,78.5,0.007,100,4.17,rain,0,0,13.6,9.4,316.3,1009,38.9,5.3,243.3,21,9,60,2025-03-30T07:13:33,2025-03-30T19:21:57,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-03-31,92.7,76.8,83.8,104.2,76.8,90.5,74.9,75.8,0.008,100,4.17,rain,0,0,18.3,8.5,284,1009.4,39.9,6.1,230,19.6,9,60,2025-03-31T07:13:10,2025-03-31T19:21:44,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,MYI0000WMSA,WMKK"
Malaysia,2025-04-01,92.7,78.2,84,107,78.2,89.8,74.8,74.9,0.17,100,4.17,rain,0,0,9.6,8.5,317.7,1009.2,41.7,6,131.3,11.3,4,30,2025-04-01T07:12:47,2025-04-01T19:21:31,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,MYI0000WMKK,WMKK,MYI0000WMSA"
